====== H (10) into Ni-20Cr+FLiNaK-5%EuF3        =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 3000  keV
============= TARGET MATERIAL ======================================
Layer  1 : Ni-20Cr
Layer Width =     3.E+05 A   Layer # 1- Density = 8.969E22 atoms/cm3 = 8.522 g/cm3
  Layer # 1- Ni = 77.9 Atomic Percent = 79.9 Mass Percent
  Layer # 1- Cr = 22.0 Atomic Percent = 20.0 Mass Percent
Layer  2 : FLiNaK-5%EuF3
Layer Width =     2.E+05 A   Layer # 2- Density = 5.575E22 atoms/cm3 = 1.971 g/cm3
  Layer # 2- Li = 22.7 Atomic Percent = 7.42 Mass Percent
  Layer # 2- Na = 5.63 Atomic Percent = 6.07 Mass Percent
  Layer # 2-  K = 20.5 Atomic Percent = 37.7 Mass Percent
  Layer # 2- Eu = .51  Atomic Percent = 3.64 Mass Percent
  Layer # 2-  F = 50.5 Atomic Percent = 45.0 Mass Percent
====================================================================
 Total Ions calculated =99999.00
 Ion Average Range =   403.5E+03 A   Straggling =   257.3E+02 A
 Ion Lateral Range =   229.8E+02 A   Straggling =   304.2E+02 A
 Ion Radial  Range =   361.1E+02 A   Straggling =   235.3E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =13
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -002.5357  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 023.2275  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
500001.E-02  2.0000E-01  0.0000E+00
100000.E-01  0.0000E+00  0.0000E+00
150000.E-01  0.0000E+00  0.0000E+00
200000.E-01  2.0000E-01  0.0000E+00
250000.E-01  0.0000E+00  0.0000E+00
300000.E-01  4.0000E-01  0.0000E+00
350000.E-01  2.0000E-01  0.0000E+00
400000.E-01  4.0000E-01  0.0000E+00
450000.E-01  2.0000E-01  0.0000E+00
500000.E-01  8.0001E-01  0.0000E+00
550000.E-01  4.0000E-01  0.0000E+00
600000.E-01  2.0000E-01  0.0000E+00
650000.E-01  4.0000E-01  0.0000E+00
700000.E-01  2.0000E-01  0.0000E+00
750000.E-01  6.0001E-01  0.0000E+00
800000.E-01  2.0000E-01  0.0000E+00
850000.E-01  2.0000E-01  0.0000E+00
900000.E-01  0.0000E+00  0.0000E+00
950000.E-01  6.0001E-01  0.0000E+00
100000.E+00  2.0000E-01  0.0000E+00
105000.E+00  2.0000E-01  0.0000E+00
110000.E+00  4.0000E-01  0.0000E+00
115000.E+00  2.0000E-01  0.0000E+00
120000.E+00  4.0000E-01  0.0000E+00
125000.E+00  4.0000E-01  0.0000E+00
130000.E+00  6.0001E-01  0.0000E+00
135000.E+00  6.0001E-01  0.0000E+00
140000.E+00  4.0000E-01  0.0000E+00
145000.E+00  0.0000E+00  0.0000E+00
150000.E+00  6.0001E-01  0.0000E+00
155000.E+00  6.0001E-01  0.0000E+00
160000.E+00  4.0000E-01  0.0000E+00
165000.E+00  6.0001E-01  0.0000E+00
170000.E+00  1.4000E+00  0.0000E+00
175000.E+00  1.2000E+00  0.0000E+00
180000.E+00  1.8000E+00  0.0000E+00
185000.E+00  8.0001E-01  0.0000E+00
190000.E+00  1.0000E+00  0.0000E+00
195000.E+00  1.0000E+00  0.0000E+00
200000.E+00  1.8000E+00  0.0000E+00
205000.E+00  2.2000E+00  0.0000E+00
210000.E+00  1.4000E+00  0.0000E+00
215000.E+00  2.4000E+00  0.0000E+00
